BÁO CÁO TRAFFIC INPUT 8 CỬA HÀNG,,,,,,,,
Form đọc traffic theo từng cửa hàng: mỗi block là 1 cửa hàng, dòng là giờ, cột là thứ trong tuần. Traffic lấy trung bình theo tháng/quý.,,,,,,
,,,,,,,,
LX - YODY Long Xuyên,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,1.3,1.3,3.3,0.5,3,1.5,1,
9,1.5,1.7,3.7,2.3,0.5,3,1.5,
10,1.3,3.7,4,1,2,4,1.5,
11,3,3.3,2.3,1,3.5,5.5,2,
12,1,2.7,2.3,2,4.5,4,0,
13,1.3,1.5,1,1,0.5,2,2,
14,2.3,3,2,3.7,3,3.5,2,
15,3.7,4.7,4.3,3.3,1.5,7,2,
16,5.3,5,4.7,3.3,4,4.5,5,
17,2.3,4.7,6.3,2,7,7,12,
18,5.7,4.7,5.7,5.3,6,5.5,3.5,
19,3.3,5.3,7,6,17.5,6,9.5,
20,2,3.7,3.7,1.7,5.5,3,3,
21,0.7,0,1,0,1,0,0,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
LX2 - YODY Long Xuyên 2,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,,1,,1,4,1,1,
9,1,0,2,0.5,2,1.5,1,
10,1.5,3,3,1.7,0,3,1.5,
11,0.5,0.5,0.3,2.5,3.5,3.5,2,
12,0.5,1,4,0.5,2,1.5,0,
13,2,0.5,0.7,1,0,1,2,
14,1,1,2,0.3,2.5,1,1,
15,0.5,2,3.5,0.7,3,2,2,
16,1,1.7,2,2.5,3,4.5,3,
17,1.5,1.3,3.7,1.7,0.5,0,3,
18,0.5,4.7,1.3,2,2,4,1.5,
19,2.5,3.3,3,2,0,3.5,1,
20,2,1.7,1,0.3,0,2,3,
21,0.5,1.3,0.5,,0.5,0,0.5,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
CT304 - YODY 30 - 4 Cần Thơ,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,1.3,2.3,1.7,2,2,3.5,3,
9,2.7,1.5,2,2,3,3,6.5,
10,4,2.7,3,2.5,1.5,7,9,
11,1.3,3.5,3,2.7,2.5,7.5,4.5,
12,2,3,2.5,2.3,2,2,4,
13,0.3,0.7,1,1.5,2.5,2,1,
14,2.3,3,1.7,1,2,2.5,3,
15,4.3,1.7,4,3,2,5.5,3,
16,4,3.7,4,1.3,5.5,5.5,5,
17,4,6,3.7,4.7,7,3.5,2,
18,5.7,7.3,6.7,6.7,4,7.5,8.5,
19,7,7.7,7,5.3,6.5,7,9,
20,5,5,8.7,4.3,5.5,8.5,4,
21,1,3.5,1,2,4.5,0,6,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
CT3 - YODY Cần Thơ 3,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,1.5,2.7,1,2,5,2.5,1.5,
9,2.3,5,2,5,0.5,2.5,5,
10,1.5,1.7,2.7,5,5.5,4,3.5,
11,2,1.5,3,2.3,4,1.5,8,
12,2,1.3,2,1,2,1.5,2,
13,2,1.5,2,1.7,1,2,2.5,
14,3,1,2.7,3,1,2.5,1.5,
15,1.3,1.3,5.3,4.5,1.5,3.5,3.5,
16,2,1.5,3,6.5,3.5,1,1.5,
17,2.5,4.7,7,2.7,5,5.5,3,
18,6.7,1.7,6.7,3.7,3,3.5,8.5,
19,7,5.3,7.3,5,18.5,5.5,7,
20,5.3,5.7,3.7,2,5,3.5,7,
21,1.5,2,2.7,1,2.5,2.5,0.5,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
ST - YODY Sóc Trăng,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,1,2.5,1.3,1.5,1,2,5,
9,2,1,5,1.3,3,4.5,2.5,
10,0,,1.7,2.3,0.5,7,1.5,
11,1,2,0.5,1.3,1.5,1.5,2.5,
12,2.5,1,1.5,1.5,3,3,5,
13,0,1,1,3,1,1,1,
14,2,1,1.5,1.5,3.5,1.5,2.5,
15,2,2.7,3,2,2.5,5,0.5,
16,3.7,1.7,4.7,0.3,4.5,4.5,8,
17,7.3,4,10,5.5,6,7,7.5,
18,7,5,5,4.7,10,8,7,
19,7.3,6.3,6.7,9,10,10.5,7.5,
20,7.7,3,3.3,3,2.5,5.5,1,
21,1,2,0,1.5,2,1.5,2.5,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
BL - YODY Bạc Liêu,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,3,1,1,0.5,1,1,2,
9,1,1,,0.5,3,,1.5,
10,1.3,1,1.5,1.3,,2,1,
11,2,0,0,1.5,2,1,1.5,
12,0,1,2,0,2,2,2,
13,1,1,0,0,3,4,6.5,
14,1,0,2.3,1,2.5,2,0.5,
15,2,1,2,2.5,4.5,2,1.5,
16,2,2,3.3,0.5,1,4,1.5,
17,4.3,3,0.7,2.5,1.5,1.5,3,
18,1.7,4.7,5.7,5,3.5,3.5,4.5,
19,0,2.3,3.5,1.5,3.5,8,3,
20,1.3,4.3,2,0,3,4,2,
21,,,1,0,0,1.5,,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
RS - YODY Rạch Sỏi - Kiên Giang,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,,1,1,1,1,0,,
9,2.5,2.7,2.3,0.5,2.5,4,2,
10,1.5,0.5,0.7,1,1,2,3,
11,1.5,3,0.5,3,1,2,1,
12,0,0,3,2,1.5,1,1,
13,,1,2,3,1.5,1,0.5,
14,1,1.5,1.3,0,,0,,
15,1.3,1,2,3,2,4,1,
16,2,1,2.5,0.7,3,1.5,2,
17,1,1,3.3,0,3,1,3,
18,2.3,4,1.7,1.7,3,2,0.5,
19,3.7,2.7,2.7,0.5,3.5,6.5,4.5,
20,3.5,1.5,0,0.7,2,3,2,
21,1,,1,0,0,0,1,
22,,,,,,,,
23,,,,,,,,
,,,,,,,,
NB - YODY Ngã Bảy,,,,,,,,
Giờ,Thứ 2,Thứ 3,Thứ 4,Thứ 5,Thứ 6,Thứ 7,Chủ nhật,Ghi chú
7,,,,,,,,
8,2.5,2.7,4.5,0.7,1,2,1,
9,1,2,4.3,4,1,1,2,
10,1.7,1,1,1.5,3,3.5,1.5,
11,3,2,2.7,1.5,1,1,1.5,
12,1.3,1.5,2,3,3,2,1.5,
13,1,3,0.5,1,1,1,3,
14,1.7,1.5,2,2,1,0.5,1,
15,3.3,1,1.3,1,2,1.5,2,
16,2,2.3,2.7,2,1,4,3,
17,2,4,2.5,2.3,2,6,1,
18,3,2.3,8,2,4,6.5,4,
19,2.3,1.7,3,3,6,3,3.5,
20,3,0,2,0.3,1,,3,
21,,1,2,,0,,,
22,,,,,,,,
23,,,,,,,,
